Player,NFL_Team,Round,Ovr_Pick_No,Position,College,Notes
Derrick Harmon,Pittsburgh Steelers,1,21,DT,Oregon,NULL
Kaleb Johnson,Pittsburgh Steelers,3,83,RB,Iowa,NULL
Jack Sawyer,Pittsburgh Steelers,4,123,DE,Ohio State,NULL
Yahya Black,Pittsburgh Steelers,5,164,DT,Iowa,"from Detroit via Cleveland, Philadelphia and Kansas City[R5 – 19]"
Will Howard,Pittsburgh Steelers,6,185,QB,Ohio State,from Chicago via Seattle[R6 – 8]
Carson Bruener,Pittsburgh Steelers,7,226,LB,Washington,from Carolina via Kansas City[R7 – 6]
Donte Kent,Pittsburgh Steelers,7,229,CB,Central Michigan,from Atlanta via Philadelphia[R7 – 8]
